ages,skins,brands,items,stars,reviews
31,乾燥肌,ビオレ,おうちdeエステ 肌をなめらかにする マッサージ洗顔ジェル,6,SNSで話題になっていたので購入しました。ビオレといえば昔毛穴パックしまくって結果鼻の毛穴だけ目立つようになってしまった過去を後悔...小鼻の脇や顎など部分的に角栓ができて気になるので使用しました。感動！綺麗さっぱりなくなります。パックよりこっちの方が綺麗になるよと昔の自分に伝えたい...ポイントはお風呂あがり、ケチらずたっぷり、優しく丁寧に気になるところだけくるくる匂いに敏感ですがこの香りはそこまで不快にはなりませんでした週2-3回目安に使っています無くなったら困る...手軽に角栓・毛穴ケアに使えるので良いと思います！今度旦那さんにも使わせたい...
29,混合肌,メディプロダクト,アイシャンプーロング,6,いつもポイントメイク落としを使ってアイメイクを落としてからクレンジングするようにしていますがやはり睫毛の際とかに残ったメイクが気になる時もあってこちらの商品を使い出しました。特に目が沁みたりする事もなく私にはとても使い心地が良いです。瞼と睫毛の取り残した汚れも綺麗出来るのでスッキリします。容器もプッシュ式なので衛生面でも心配なく商品を使えます！無くなったらリピ買いします。
29,混合肌,クレンジングリサーチ,ウォッシュクレンジング r,5,1本使い終わった感想は、普通。と思ってました。洗い上がりは突っ張らない。なんとなーく肌が柔らかい気がする。でもスクラブの方がさっぱりする！！もうリピしないと思ってましたが、使い終わってから小鼻の角質が溶かされていた事に気が付きました。スクラブで肌荒れするようになったので、よりマイルドなこちらを次からは使おうと思います！別の物を使って初めて良さが分かりました。
42,アトピー,IVORY(アイボリー),アイボリーソープ オリジナル,2,家にあるボディソープが合わなくなってしまったので、ドラッグストアで間に合わせに買ってみました。泡立ちは悪くないし、洗い上がりもつっぱらず、刺激もありません。ただ香りがとても苦手です。香りが苦手すぎてリピートはしないと思います。
29,混合肌,クレンジングリサーチ,ウォッシュクレンジング N,5,洗い上がりがさっぱりだけども突っ張らないので私にあっていました。何本リピしたかわかりません。スクラブも細かくて痛くなかった。これじゃないのに浮気した時の顔のスッキリしなさがストレスでした。ただアラサーになり出産も経た今、スクラブで肌荒れするようになってしまいました…。このシリーズの別の物をこれからは使っていきたいです。
37,混合肌,ドクターシーラボ,VC100ホットウォッシングフォームNEW,6,もちもちの泡で出てくる洗顔料です濡れた手では使えないので、私は朝の洗顔に使っていますプシュッと押すだけでもっちりとした泡が出てきて時短にもなるので朝の洗顔に最適です香りは柑橘系のサッパリした香りで肌には残らないので気になりません濃厚なもっちり泡は肌に吸い付くように顔を包んでじんわりと温かくなってきますまるで温感パックをしているような密着感も気持ちいい！マッサージを続けるとトロリと溶けてくる不思議なテクスチャーです洗顔後のつっぱりもなく保湿効果が高いのも魅力さすがドクターシーラボ！と思わせてくれる肌が喜ぶ洗顔です
49,普通肌,Soltar,HERBS SCRUB CLAY WASH,6,最近商品した洗顔の中では1番良かったです。スクラブは年代的にもどうかな？という不安を覆してくれました。肌でマッサージするようにのばすと、オイルのようにしっとりとし、泡は立たないので毛穴が綺麗になりスクラブも消えないので最後までしっかりと毛穴のお掃除をしてくれている感じ。洗い上がりはとってもツルツルもっちりで、アンチエイジングを気にしてる方でも抵抗無く使えるスクラブ洗顔です。私は夜の洗顔のみこちらを使用してます。香りもハーブのいい香りで、リラックスできます。
19,混合肌,ビフェスタ,泡洗顔 コントロールケア,6,初めてリピート買いした商品です。振って出すだけでもっちり濃密な泡が出てきます。手でここまでの泡を作るのは時間がかかるので朝用で使っています。洗い上がりも突っ張らず肌がワントーン明るくなっている気がします。肌に合っていたのかずっと悩んでた毛穴の黒ずみが少し改善されました。正直コスパは余り良いとは言えません。すぐ無くなりました。でもやっと自分の中で満足出来る洗顔に出会えたのでまた購入したいです。
37,敏感肌,dear mayuko,洗顔フォーム,4,久しぶりにとてもいい洗顔に出会えました。モチモチの泡が最後までヘタれることなく、顔を包み込むように洗ってくれます。スッキリ泡を洗い流すことができ、洗い上がりはつっぱらずにツルツルに。ワントーン明るくなった気がします。まるでエステで洗顔してもらうような気持ちになれる洗顔料でした。匂いもほのかなアロマ系の匂いで癒されます。リピートしたい商品です。
39,乾燥肌,b.glen(ビーグレン),クレイウォッシュ,7,トライアルセット購入後にどうしても欲しくなって買ってしまって使ってます。泡立てない洗顔なので最初は戸惑いましたがのちのちそれが良くなってきて肌にも影響があります。泡立てる必要性がないので表面上の汚れではなく肌に1回密着してくれて毛穴汚れもしっかりと落としてくれています。すっきり汚れは落としてくれてるので肌に優しく、でも保湿はあるのでもちっとした肌のまま化粧水を付ける事が出来ています。吹き出物も出来にくく、特に顎は特に出来やすい体質だったんですがクレイウォッシュ使い出してからは顎の吹き出物に困らなくなっています。今後も使い続けていきます。
30,敏感肌,khmer rabbit,Khmer HONEY,6,石鹸繋がりでこのクメールハニーもクチコミ。ネット通販でたまたま見掛けて購入。原材料を見ても全く悪いものは入っておらず、人が食べても大丈夫なもので出来ています。何より驚いたのが牛脂という表記。牛脂表記は初めて見ました。しかも成分表示の1番前に来てる…す、すげえ。そのためか香りは独特です。蜂蜜の甘い香りなどはなく不思議な匂い。牛脂の匂いかな…。それでもこの洗顔石鹸を使えばしっとりもちもちに。もっちりとしたモコモコの泡で洗え、洗い上がりは本当にしっとり。暫く化粧水は必要ないのでは…と思えるほど。そしてこの石鹸自体が固いためすぐに減ることがありません。3ヶ月以上は持ちます。値段は固形石鹸で見ると高価な部類に入りますが、原材料や肌への安心感、モチの良さなどなどを考慮すると適正価格に感じます。カンボジアへ行かずとも通販で購入出来るのも有難いですし、最近ではデパートで売っているようなので買いやすくなったのが嬉しい。パケも個性的でお洒落なため使用するまで飾っておいても素敵です。これはまた必ずリピ決定！
43,敏感肌,White Honey,ホイップウォッシングフォーム,6,ハワイ産の100％オーガニックのホワイトハニーを配合した洗顔料.手に出してみると、少しねっとりしたなめらかなテクスチャー。ふわっと柔らかな、はちみつの香りも癒されます。付属の泡立てネットを使うと、キメ細かいモコモコの泡が簡単にできました。逆さまにして揺らしてもビクともしません。弾力のある丈夫な泡なので、肌をこすることなくやさしく洗えます。泡切れもよく、洗い上がりはサッパリめ。うるおいは残っているので、サッパリでもつっぱる感じはありません。モチッとした感触の柔らかい肌になりました。季節の変わり目で過敏になっている私の肌でも、刺激を感じることなく使うことができて嬉しいです。
30,敏感肌,ダヴ,ビューティ クリーム バー ホワイト,6,もう何度リピしたのか分からないぐらい愛用していました。何かの拍子に思い出し、また使いたいと思ったのでクチコミします。出会いのきっかけは数十年前、当時人気セレブだったニコールリッチーがこの石鹸を愛用している事を雑誌で知り、高価な化粧品を使う人が良いと言っているのだから買って損はない！と思い購入したのがきっかけ。結果、何度もリピするぐらいにはハマりました。固形石鹸(Doveでは中性固形洗浄料としているそうです)の中でもお気に入りの一つ。外資系のため香りは強めですが、クリーミーな泡立ちで優しく洗う事が出来る上に洗い上がりが突っ張らず肌が柔らかくなりました。ビューティークリームという名前通り。そしてこのDoveの数ある商品の中で1番は初めに作られたのもこの石鹸からだそうで、世界売上1位らしいです。肌がなめらかになり、敏感肌でも安心して使える処方でありつつも中性のため余分な角質は落としてくれるという優れもの。その角質を落とした所にうるおいを残してくれるので肌質が柔らかくなり改善される…という石鹸です。肌を酸化させない為にはアルカリ性のものを使うと良いそうですが、この石鹸は中性のため落としすぎないというのもポイント。価格も安く、固形のため減りが目に見えるので買い替えがわかりやすいのも良かったり。ただ売っている店が少なく現状でも販売店がパッと思いつかないほどには地味な存在。やはりDoveといえばチューブタイプの洗顔やボディソープの方が有名なので仕方ないですが…。それでもあのなめからで突っ張らない肌の感触を知ればまた使いたいという気持ちになったので探して買いに行きたいと思います。
36,普通肌,長寿の里,然 よかせっけん(ジャータイプ),6,極上泡洗顔できます。手をひっくり返しても全くたれない、濃密泡が吸着。超微粒子シリカが汚れだけをとるから、すっきり！でも、ごそっり潤いもってかれた！ってのもない。不思議。美肌成分60%以上に納得。黒ずみ毛穴にすこーしずつ、じわじわ効いてくる感じしますよー
39,混合肌,ドクターシーラボ,VC100ホットウォッシングフォームNEW,6,もっちりとした濃密泡で洗う洗顔フォーム。発売前にお試ししました。とにかく弾力がありますね！簡単にはへたらない泡で手のひらを逆さまにしても落ちないほどのかたさ。そして顔にのせるとじんわりと 温かさを感じます。これがとっても気持ちいいでーす。柑橘系の香りもするので癒し効果もありますね！乾いた手で乾いた顔に使わなければいけません。入浴中だと一度水分をよく拭かなくちゃいけないのだけがやや面倒に感じます。朝向きなのかな？色々試してみたいと思います。
46,乾燥肌,ドクターシーラボ,VC100ホットウォッシングフォームNEW,6,発売前にモニターで使わせていただきました。もっちり濃密な炭酸泡で毛穴汚れやくすみ、不要な古い角質をOFFして、なめらかなツヤ肌に洗い上げる温感タイプの洗顔フォーム!!高浸透ビタミンC(APPS)をはじめ、保湿成分のコラーゲン・ヒアルロン酸・セラミドなども配合された贅沢処方です。缶を振ってからプッシュするだけで、濃密な泡がでてくるので泡立て不要。まるでホイップした生クリームのようなキメ細かくて、もっちりとした泡。クリームで洗っているかのような感触です。温感タイプなのでほんのり温かくなってきて、毛穴の奥から汚れも取ってくれる感じ。お顔の血流アップにもよさそうです。しっかり洗えている感じがありながら、つっぱらないしっとりとした洗い上がり。とっても気に入りました。
40,乾燥肌,ドクターシーラボ,VC100ホットウォッシングフォームNEW,6,ホイップクリームというより、メレンゲのようにきめ細かい泡がもこもこ出てきます。洗っている時少しすると肌がじんわり暖かくなってきて、気持ちよいです。洗い流した後は肌がピーンと突っ張ることなくさっぱりして気持ちよいです。
41,混合肌,PLUEST,Mannan Jelly Hydro Wash,7,肌の油分や水分を守りながらも　すっきりさせてくれる。「保湿成分で洗顔する」実際に使ってみると　なるほど　納得。洗顔後も　つっぱらず　モチモチしています。ジェルと、肌を傷めないマンナンスクラブの　感触が　とっても心地よいです！また、ジェルでのマッサージ効果もあり、お肌の血色がよくなり　ワントーン明るくなりました。
28,敏感肌,カウブランドカウブランドからのお知らせがあります,カウブランド 青箱 (さっぱり),5,四年前、第一子が産まれたときに子供に使わせたときに使用してみたらとても良かったため、それから家族全員でずっと使っています。肌がそこまで弱くは無い子ですが、頭から全身使用して一度も荒れたことがなく、夫は洗顔としても使ってニキビが減ったことを実感していますのでとても良い商品だと信用しています。
31,混合肌,富岡シルク,富岡シルク石鹸,4,泡立ちよくせっけんのもちも良いです。なので気に入ってはいますが、いかんせんお値段が高く…レギュラーサイズでなんと3000円近く！3ヶ月ほどもつとはいえ、なかなかリピートしづらいかなぁ…
33,混合肌,ロゼット,無添加米ぬか洗顔フォーム,5,"今までは1,000円強の価格帯の洗顔フォームを使用していましたが、ロゼットの別の商品の口コミを参考にし、店頭でこちらを見つけなかなか成分が良さそうだと思い購入。結果、今まで使用していた洗顔フォームは何だったの!?と思うほどよかったです!!つっぱらないわけではないけれども、慌てて化粧水を塗らないといけない程ではない、といったところです。優しい洗いあがりが気にっています。"
34,混合肌,シック,ハイドロ フェイスウォッシュ,4,泡タイプだから、肌を守りながら快適なシェービングが可能です！キメが細かい濃密なもちもち泡が気持ちいい～皮脂や汚れも洗い流して清潔肌へ導いてくれる優れもの。
